Null action,SMART_ACTION_NONE
Talk; sounds
 Talk (me),SMART_ACTION_TALK
 Talk (target),SMART_ACTION_SIMPLE_TALK
 Play emote,SMART_ACTION_PLAY_EMOTE
 Play random emote,SMART_ACTION_RANDOM_EMOTE
 Set emote state,SMART_ACTION_SET_EMOTE_STATE
 Play sound,SMART_ACTION_SOUND
 Play movie,SMART_ACTION_PLAYMOVIE
Quest
 Fail quest,SMART_ACTION_FAIL_QUEST
 Add quest,SMART_ACTION_ADD_QUEST
Spells
 Cast spell,SMART_ACTION_CAST
 Invoker casts spell,SMART_ACTION_INVOKER_CAST
 Cross cast spell,SMART_ACTION_CROSS_CAST
 Add aura from spell,SMART_ACTION_ADD_AURA
 Remove aura from spell,SMART_ACTION_REMOVEAURASFROMSPELL
 Interrupt spell,SMART_ACTION_INTERRUPT_SPELL
Movement
 Evade,SMART_ACTION_EVADE
 Follow,SMART_ACTION_FOLLOW
 Move to position,SMART_ACTION_MOVE_TO_POS
 Jump to position,SMART_ACTION_JUMP_TO_POS
 Random move,SMART_ACTION_RANDOM_MOVE
 Flee for assist,SMART_ACTION_FLEE_FOR_ASSIST
 Start waypoints,SMART_ACTION_WP_START
 Pause path,SMART_ACTION_WP_PAUSE
 Resume path,SMART_ACTION_WP_RESUME
 Stop path,SMART_ACTION_WP_STOP
 Set orientation,SMART_ACTION_SET_ORIENTATION
 Allow combat movement,SMART_ACTION_ALLOW_COMBAT_MOVEMENT
 Set run,SMART_ACTION_SET_RUN
 Set fly,SMART_ACTION_SET_FLY
 Set swim,SMART_ACTION_SET_SWIM
 Teleport,SMART_ACTION_TELEPORT
 Move up,SMART_ACTION_MOVE_UP
 Move forward,SMART_ACTION_MOVE_FORWARD
 Set ranged movement,SMART_ACTION_SET_RANGED_MOVEMENT
 Activate taxi,SMART_ACTION_ACTIVATE_TAXI
Template
 Update template,SMART_ACTION_UPDATE_TEMPLATE
 Set faction,SMART_ACTION_SET_FACTION
 Morph,SMART_ACTION_MORPH_TO_ENTRY_OR_MODEL
 Set unit_flags,SMART_ACTION_SET_UNIT_FLAG
 Remove unit_flags,SMART_ACTION_REMOVE_UNIT_FLAG
 Set npcflags,SMART_ACTION_SET_NPC_FLAG
 Add npcflags,SMART_ACTION_ADD_NPC_FLAG
 Remove npcflags,SMART_ACTION_REMOVE_NPC_FLAG
 Set bytes_ flag,SMART_ACTION_SET_UNIT_FIELD_BYTES_
 Remove bytes_ flag,SMART_ACTION_REMOVE_UNIT_FIELD_BYTES_
 Set dynamic_flags,SMART_ACTION_SET_DYNAMIC_FLAG
 Add dynamic_flags,SMART_ACTION_ADD_DYNAMIC_FLAG
 Remove dynamic_flags,SMART_ACTION_REMOVE_DYNAMIC_FLAG
 Set gameobject flag,SMART_ACTION_SET_GO_FLAG
 Add extra_flags,SMART_ACTION_ADD_EXTRA_FLAG
 Remove extra_flags,SMART_ACTION_REMOVE_EXTRA_FLAG
Events
 Set creature event phase,SMART_ACTION_SET_EVENT_PHASE
 Increment creature event phase,SMART_ACTION_INC_EVENT_PHASE
Gossip
 Close gossip,SMART_ACTION_CLOSE_GOSSIP
 Send gossip menu,SMART_ACTION_SEND_GOSSIP_MENU
Item
 Add item,SMART_ACTION_ADD_ITEM
 Remove item,SMART_ACTION_REMOVE_ITEM
 Equip,SMART_ACTION_EQUIP
Timed events
 Create timed event,SMART_ACTION_CREATE_TIMED_EVENT
 Trigger timed event,SMART_ACTION_TRIGGER_TIMED_EVENT
 Remove timed event,SMART_ACTION_REMOVE_TIMED_EVENT
 Run timed actionlist (difference between trigger???),SMART_ACTION_CALL_TIMED_ACTIONLIST
 Run random timed actionlist,SMART_ACTION_CALL_RANDOM_TIMED_ACTIONLIST
 Run random ranged timed actionlist,SMART_ACTION_CALL_RANDOM_RANGE_TIMED_ACTIONLIST
Not yet categorized
 Set react state,SMART_ACTION_SET_REACT_STATE
 Activate gameobject,SMART_ACTION_ACTIVATE_GOBJECT
 Summon creature,SMART_ACTION_SUMMON_CREATURE
 Modify threat to the target,SMART_ACTION_THREAT_SINGLE_PCT
 Modify threat of all mobs on threat list,SMART_ACTION_THREAT_ALL_PCT
 SMART_ACTION_CALL_AREAEXPLOREDOREVENTHAPPENS,SMART_ACTION_CALL_AREAEXPLOREDOREVENTHAPPENS
 Auto attack,SMART_ACTION_AUTO_ATTACK
 SMART_ACTION_CALL_GROUPEVENTHAPPENS,SMART_ACTION_CALL_GROUPEVENTHAPPENS
 Random phase (what phase?),SMART_ACTION_RANDOM_PHASE
 Random phase range (what phase?),SMART_ACTION_RANDOM_PHASE_RANGE
 Reset gameobject,SMART_ACTION_RESET_GOBJECT
 Give monster kill credit,SMART_ACTION_CALL_KILLEDMONSTER
 Set instance data,SMART_ACTION_SET_INST_DATA
 Set instance data64,SMART_ACTION_SET_INST_DATA64
 Die,SMART_ACTION_DIE
 Set combat with zone,SMART_ACTION_SET_IN_COMBAT_WITH_ZONE
 Call for help,SMART_ACTION_CALL_FOR_HELP
 Set sheath,SMART_ACTION_SET_SHEATH
 Force despawn,SMART_ACTION_FORCE_DESPAWN
 Set invincibility hp level,SMART_ACTION_SET_INVINCIBILITY_HP_LEVEL
 Mount to entry or model,SMART_ACTION_MOUNT_TO_ENTRY_OR_MODEL
 Set phase ID,SMART_ACTION_SET_INGAME_PHASE_ID
 Set phase GROUP,SMART_ACTION_SET_INGAME_PHASE_GROUP
 Set data,SMART_ACTION_SET_DATA
 Set visibility,SMART_ACTION_SET_VISIBILITY
 Set active,SMART_ACTION_SET_ACTIVE
 Auto attack,SMART_ACTION_ATTACK_START
 Summon gameobject,SMART_ACTION_SUMMON_GO
 Kill unit,SMART_ACTION_KILL_UNIT
 Store variable decimal,SMART_ACTION_STORE_VARIABLE_DECIMAL
 Store target,SMART_ACTION_STORE_TARGET_LIST
 Respawn target,SMART_ACTION_RESPAWN_TARGET
 Send gameobject custom animation,SMART_ACTION_SEND_GO_CUSTOM_ANIM
 Set random health,SMART_ACTION_SET_RANDOM_HEALTH
 Set gameobject loot state,SMART_ACTION_GO_SET_LOOT_STATE
 Send target to target,SMART_ACTION_SEND_TARGET_TO_TARGET
 Set home position,SMART_ACTION_SET_HOME_POSITION
Miscellaneous
 Override script base object,SMART_ACTION_OVERRIDE_SCRIPT_BASE_OBJECT
 Reset script base object,SMART_ACTION_RESET_SCRIPT_BASE_OBJECT
 Call script reset,SMART_ACTION_CALL_SCRIPT_RESET
 Install AI template,SMART_ACTION_INSTALL_AI_TEMPLATE
